Uniprot ID;EC number
E1BYF1;4.4.1.1
T1EDP2;4.6.1.2
I1H9M3;
A5PK69;
M1A9V5;2.7.11.1
K3XQP2;
A0A1S3Z8K5;
A0A067E4R5;2.6.1.1
Q9X8J4;
M4CW23;
Q8INR5;1.4.3.5
A0A3B6EGK3;2.7.1.40
Q4Q4F0;
A0A3Q1MF09;
Q04894;1.1.1.2
A0A059CEW2;
A0A0K9RQH5;2.7.7.6
G3QGS5;
P34898;2.1.2.1
H2LVC3;
Q8F3P1;1.17.4.1
Q9Y3D2;"1.8.4.12; 1.8.4.14"
A0A1U7Z7M6;
A0A3B5Y4Y0;
Q3MHY0;
Q1K6Y9;5.5.1.4
Q0UJF1;
A0A1U8BEC4;2.8.1.8
A0A2I4GT05;2.7.11.1
A0A2J6JJB0;
A0A1U8LVB9;
A0A1S4BFQ9;
B5YG56;2.7.6.1
A6QR34;2.7.1.-
F6TW46;2.8.2.20
M1A7N3;2.3.1.41
A2G7W4;
Q21702;
A0A3B6KQB1;
W5MUC1;
H2LV16;
A5I446;1.15.1.1
G1KG01;3.1.3.48
G7K3M6;2.7.7.-
A0A2K1YI85;
F6W6X6;
A7RPR3;
Q6CAB0;3.1.3.25
F6W6Q0;
A0A1S3ZMJ0;5.1.3.3
D8SR38;
G7K2P1;1.14.11.15
Q63468;
G1KHK5;
B7Q0D7;2.7.6.5
A0A2I3RK84;
Q5KP99;4.2.1.24
Q84UI5;2.7.11.24
A0A078G8L8;
A0A3B3I544;1.21.1.1
B5YIC7;
M0R983;
W1PAK9;1.4.3.-
B7F6I0;
Q756A9;1.3.3.6
D3ZUA0;"1.5.1.15; 1.5.1.5; 3.5.4.9"
I1KC25;2.2.1.6
O04104;1.7.3.3
Q0VKZ3;1.14.15.3
Q89RV8;
Q5K796;
A0A022PV26;3.1.1.11
A0A2C9VQH4;
M3WCF8;
G3SCM0;
P72138;"3.5.1.2; 4.3.2.10"
H3DWL5;
F1QSS2;
E1C6A7;
P71889;3.5.3.18
A8BSL8;
A0A3Q7EK84;
H3G951;
A0A1S4B702;4.2.1.91
A0A0Q3F6X8;
A0A078JZR8;
A0DPV3;
H2LTP0;2.7.11.-
F1MX20;
B9RVB2;2.7.1.30
A0A1S3Y1D1;
A0A0R0EZT3;3.6.1.1
A0A0G2K7P2;
E1BMJ5;
Q5U1D1;2.7.7.8
Q0UAW6;
A9SIE3;1.11.1.7
E3KWR0;
I3LS82;
Q91WB2;
A0A078GXZ8;
A0A251U6J3;1.11.1.7
Q8EXU1;
A0A2R8QK48;
F1A0P3;2.7.4.8
Q9ESW4;"2.7.1.107; 2.7.1.138; 2.7.1.94"
A0A078EH82;
C4M9S5;
A0A251SW80;2.7.7.6
M4EGJ9;
P52895;"1.-.-.-; 1.1.1.112; 1.1.1.209; 1.1.1.357; 1.1.1.53; 1.1.1.62; 1.3.1.20"
A0A2K2CRZ7;
A0A059AFT1;1.1.1.42
A0A2C9U551;1.1.1.86
A0A3B6B468;
A0A059CV64;
F7AW96;2.7.11.-
Q9AWB2;1.8.7.1
K7GP80;
A0A0K9PIC5;
Q29VN2;"4.2.3.144; 4.2.3.25; 4.2.3.48"
K3XWQ3;
A0A3B6MYN3;3.1.1.11
P52198;
H3DXN3;2.7.11.1
T1G926;"2.7.11.22; 2.7.11.23"
A9A3D0;
A0A2K3D581;1.2.4.2
Q7UC03;1.-.-.-
B0M0N9;3.5.1.2
B0S5E3;
A2E382;2.7.11.1
A0A3B6SKS9;
Q9W037;4.6.1.1
F1S465;
A0A2R8Q562;4.6.1.2
Q7T171;2.3.1.5
C3Z1I3;
Q0P499;6.1.1.17
A0A3B6MVP8;1.2.1.84
I1J099;
I1JTV8;4.99.1.1
M1DUB9;
P51531;3.6.4.-
Q42961;2.7.2.3
H9H6Z7;5.4.2.8
P26288;7.1.1.-
A0A0Q3GNT9;
F7G3Y6;6.3.1.2
K4AAI5;2.5.1.21
A0A1D8PPW9;2.1.2.10
B7P6R8;3.6.1.1
A0A1U7YT40;5.2.1.8
E9G781;2.3.2.5
F6ZC51;3.1.3.48
G7LIN1;
Q4Q0L5;
D8SK30;
A0A1U8LUD7;
Q9KVN6;4.2.1.24
Q42972;1.1.1.37
G7K591;3.1.3.-
Q9S7H4;5.4.99.5
C5YKI3;
B8C9C2;
G7JEX7;
M1DWX2;3.1.1.11
F6VDG2;
H2Q6X1;2.7.7.84
M3WDF0;
A0A022QTE4;3.1.1.11
A0A078H6R8;
A0A067DCF3;
Q00UX7;
P40892;2.3.1.-
Q9SSX0;
X1WBY2;
E3JRD1;
A0A058ZYH0;
A0A1U8HKK2;2.7.1.67
A9UTZ5;
E3KJF5;2.3.2.8
O01804;2.6.1.1
A0A251TXQ2;
C4MB67;
H9GHF4;
A0A1U8N2L6;
F1P521;
Q0U0A2;2.7.7.6
Q9VDU1;
A0A2R8RRC4;2.7.11.1
G2HG62;
A1Z758;
Q5AZA5;
A0A0G2K3T0;
Q12084;2.7.1.48
E1BGX6;1.14.16.4
M1A8D6;5.2.1.8
P54751;"2.4.99.2; 2.4.99.4"
M1AP37;1.8.98.2
H9LF47;7.1.1.-
A0A058ZZH9;1.1.1.86
M1C681;1.17.4.1
A0A2I3SKK7;
A2DXE8;
A0A139WN47;
Q4WWV7;
A0A059ALS3;2.1.2.1
F6VVA6;3.1.4.11
A0A2K2DKJ9;
H2Y3D0;
J9P710;
M4DNY1;
Q5TYQ4;
A0A1U8MRC9;
A0A0K9RC12;1.1.1.44
M4EQQ0;
B1N3H0;2.1.1.56
W5N9S9;1.14.11.4
Q7Q1V3;4.1.1.50
I1IG24;
D8SHA1;
B8LC54;
A0A3B5ZP46;
A0A0K9Q2K0;
Q7CQD9;
Q0U3N1;
A7EB51;
B0M1B1;1.1.3.15
H2LEZ2;3.6.5.5
A0A022Q1N4;
A0A251V0K9;
A0A078FQ15;
A7T895;
P52208;1.1.1.44
Q8AA75;6.3.4.2
H9GMI9;
A0E8P4;2.7.11.1
A0A0K9PQB4;
A0A3B6NPG7;
Q8ZKF5;1.7.2.2
H2MX71;
T1ESM8;
A0A2I4EIH1;
O94487;2.7.11.1
H2Q2M3;3.1.1.3
C4LSZ9;2.7.6.2
O25627;2.6.1.62
A0A368UJ64;
Q6C673;3.1.3.99
B3RRT9;
B4FA80;2.7.2.4
S4R2K4;
Q01D21;
A0A022R018;
A0A0D1DUK4;
A0A3B6TJH4;"3.6.1.13; 3.6.1.16; 3.6.1.53"
F6THW6;
G7J9Y9;"1.2.1.41; 2.7.2.11"
A0A3B6PPD2;
Q0IIC8;3.1.1.4
A5I6Y8;3.6.1.66
A9US43;
H9GBU4;
A0A3B6BZW4;
Q9BQK8;3.1.3.4
P38712;3.6.4.13
A0A061FFC7;2.7.11.1
A0A3Q2H4M1;2.3.3.8
A8XIQ5;
Q2HJ73;3.1.2.4
A0A061ETS8;2.7.11.1
A0A1D6E695;
A0A059DC56;
A0A072U9P7;3.6.2.1
A0A6I8RL61;2.1.1.22
A0A6I8RUI2;1.14.11.2
A0A078J4G9;
A0C580;
Q6ZCC7;
Q9RRY7;
A0A078I4F2;
A0A0K9R5X4;2.7.4.6
A0A6I8QQ59;3.3.1.1
A0A3Q2UPJ9;
B9RDL4;2.7.11.1
K3Z4U7;2.7.11.24
A0A0K9PZ58;
A0A368PK69;
A0A3B6JFM6;5.3.1.23
A0A1D6H377;"1.13.11.53; 1.13.11.54"
Q74A19;2.3.1.30
M5W221;
P9WIU3;4.1.1.23
F6PHM6;3.1.3.36
A0A067F4V9;
A0A6I8RH53;3.1.4.-
A0A022QML2;2.4.1.1
A0A078JKG8;
A0A061G590;
H3F546;3.5.1.14
I1KGY8;2.7.1.30
Q8A7E9;
A0D3K5;
Q9CPY0;2.1.1.-
M5W470;
A9V5K4;1.1.1.31
E7ENX8;
F7DJQ2;
Q9MA88;3.6.5.-
C4LXC4;2.7.1.40
A0A2J6LIZ8;
F6H2F8;2.1.1.228
A0A2C9VNL1;
Q10CW0;
A0A077REX4;3.1.1.14
C4LV13;
A0A0R4J4I9;5.2.1.8
Q81BL1;
H3GLW6;
C3XRN7;1.2.4.4
F6ZM46;
A2E404;
Q75D66;6.3.5.5
A0A251P9L7;
P54071;1.1.1.42
A0CF38;2.3.1.108
B7QMY2;2.7.10.2
F6H7L5;4.4.1.5
M5XEZ9;
A0A3B6QLA7;1.2.4.1
A5PLF2;
A0A2K1IIG3;
Q4Q2I4;2.7.1.20
A0A1U8M101;
Q6I7B6;5.4.2.7
A0A0R0FZL0;
F4PDN5;3.1.4.-
F6W6Z7;2.4.2.14
A0A3B6IPV1;
W1PR52;
A0A2I3SFA7;1.-.-.-
Q9XUS5;2.7.7.9
Q7RW66;
C4M8K6;
M4FEV1;
O84248;1.2.4.1
Q0UM97;3.3.1.1
Q81FY9;2.7.1.25
W1NPL1;
G1KDG8;3.1.3.48
A0A368QLV8;
Q8A2W9;1.8.1.4
Q8PE04;
V5IRG7;2.4.2.19
Q06063;"1.3.1.-; 1.3.1.90"
B8C693;
B7PR84;
I1J0G2;
Q94IZ2;2.7.11.1
P53688;2.3.1.286
Q4Q751;3.1.1.29
Q9UTI3;2.3.1.255
A0A2K1ITQ3;5.2.1.8
A6ZI47;4.1.2.13
E9QGG6;
A0A2C9WEU6;
P07327;1.1.1.1
P92533;7.1.1.2
Q6H6V1;
A0A3B6CG46;
Q0UGB1;
A0A251TI62;1.2.1.84
M1ARW9;2.3.1.51
A0A061G4R4;
M4D0C3;3.1.1.11
E1BXC2;3.1.2.12
A9A584;3.1.1.96
M4ENZ7;
P32518;3.6.1.23
A0A2X0S4D3;
F7CYY8;
Q4QEF8;
A0A078G5V6;
F7ALM7;2.4.1.-
A0A059AHR4;
A0A067ET69;6.3.3.1
Q7QFK7;1.17.4.4
Q5VND3;
A0A1U8NBT7;3.1.4.4
A0A1U8JND3;1.11.1.7
A9JSS3;
Q6P312;2.4.1.131
A0A3B6G035;3.1.1.-
Q9NR45;"2.5.1.56; 2.5.1.57"
M5VIK1;2.1.1.-
Q89BS5;
Q9ZUH5;1.1.1.-
A0A1B8Y1C4;
A0A2J6KET8;
B1L630;6.3.4.2
M4EP76;
A0A096PAZ8;5.3.3.2
A0A0K9RMI7;
E9G924;"2.1.1.233; 2.1.1.290; 2.3.1.231"
Q0UMG6;
A0A251V8Z6;
A0A1S3YIP8;
A0A078FDR7;3.6.5.-
H2RI28;
A0A2C9U2V9;3.6.4.12
I1H7R5;2.7.7.7
Q8BZT7;3.1.1.4
A0A0G2K366;2.7.11.1
F7HRK1;
Q4KM97;2.7.10.2
A0A251SJI9;
Q0UHV4;3.6.4.13
H9GAR6;
Q12469;2.7.11.1
A0A1U7ZI31;
A0A139WFM5;
A0A1U7ZSX7;
K3YDF0;2.5.1.47
Q4WS57;2.1.1.233
Q9SY89;2.7.11.1
C3YUZ4;
M1BAU2;
M4DSS4;2.3.1.50
A0A059DHH8;
B9H4V1;2.7.7.4
Q8W422;
A0A2K1JTZ4;2.7.1.35
F1NZC0;5.1.3.3
M4EDE1;
Q97XM1;1.4.3.-
E9HGW1;
A1L1Q9;
A0A2K1JYV8;
C3ZVW4;
A0A251VPG1;
B5YGK1;2.7.2.8
H9GP65;
O75879;6.3.5.-
A0A059B2J7;1.8.1.7
F0ZWG5;
A2R0Z6;3.1.1.73
Q9I513;6.3.3.1
A5PN55;
A9S1K9;
A0A059B3X1;
A0A1S3XJ60;
Q5ZIK0;2.7.1.67
A0E2Q8;
F1QV62;2.6.1.13
I1JD34;
A0A022RCP2;3.1.1.-
Q75F76;6.1.1.1
A0A0K9PWG5;2.7.4.3
A0A3B3I0B8;
T1EG60;2.7.11.-
Q5JKV9;
A4IGC6;
A0D9R5;
A0A059BQT8;
O53585;2.4.1.288
V6CK48;6.2.1.3
A0A3B6BYI0;
C3YBV1;
Q4QRE2;
B7PK68;2.3.1.7
C4M7S4;
I1J0C8;1.1.1.37
U5D6V3;2.7.4.24
F6PIV7;4.6.1.1
A0A0K9QMQ0;2.7.7.48
Q5K765;
A0A1U8B5K1;
G1KM25;3.5.4.4
D8QPS6;2.7.1.40
P74211;1.4.3.5
A0A1S4ANJ0;2.1.1.53
A0A067G6J3;1.1.1.31
F7G735;5.4.2.3
Q6CH56;
H9GTS1;2.4.2.31
Q6PBW9;5.1.3.1
A0A022Q5A7;2.7.4.6
F4NX41;1.15.1.1
A0A0P0WMW5;3.1.3.11
A0A2I2U5A9;
A0A139WI65;1.2.4.2
A0A2I2YVU8;3.6.4.13
Q7LX43;
A8BH19;
Q93GQ6;
A0A0K9NJF3;
A0A078F8G9;2.6.1.1
Q7S084;2.1.2.11
A0A6I8SC51;3.1.4.11
B3RLI1;
A0A078J4A9;3.1.1.-
A2RU49;2.7.1.81
A0A1S4DPE3;
A0A2K2C810;
F1NF85;"2.1.1.17; 2.1.1.71"
A7SVP8;
A7UV03;
A0A6I8T2I4;
D6W800;
R4GEK9;
F7E1U8;2.7.11.1
F1SIV9;
B9S706;2.7.4.3
C3YHE5;
Q8LP96;
Q9KS83;
A0A078FYE4;
A0A061EJ75;
Q9LYU4;6.3.2.-
A0A2K2C531;1.2.1.27
A0JM15;
G3R669;5.2.1.8
Q7YXB3;2.4.1.135
Q803F2;
X5LQ30;
A0A3Q7GDU8;2.7.11.24
A0A2J6JML8;
M4C974;3.1.4.4
A0A3B6SK86;"3.6.1.13; 3.6.1.16; 3.6.1.53"
A0DT25;2.7.11.24
Q8AAW1;5.3.1.4
Q9S2T7;4.3.2.10
A0A3B6ER12;
Q8ZIQ3;5.4.2.7
Q6I5I7;
Q8EKI9;1.1.5.6
A0A078G4Q3;1.1.1.34
A0A078HEU1;
A0BP15;
Q38FB7;6.2.1.3
Q01FF5;
A8XFY4;4.3.1.17
A0A078F7Y6;1.2.1.84
A0A077S8I1;
K7MG23;3.5.4.16
A0A0K9RSW0;6.5.1.1
P9WKC1;2.3.1.20
H2XQX1;3.1.4.-
Q9MA46;"3.1.1.26; 3.1.1.32"
Q9UTM8;1.2.1.16
A0DB40;
A0A3B6ETT1;3.1.1.-
A0A0K9QSX9;2.1.1.220
A0EEC6;
A0A090MA17;2.4.1.1
A0A2K1YEB5;2.7.1.90
F6XS58;
Q9LV03;1.4.1.14
A2EGN6;
Q6CG51;2.7.6.1
Q851S9;
Q54EX6;
A0A3Q2TU25;1.3.1.2
A0A6I8Q687;
A0A3B6C938;
A7T1C7;
A0A3B6TGB3;2.7.7.7
A0A078JEG9;
A0A1U8A1I6;1.1.1.42
Q8F2W4;
A7SPM8;1.8.3.1
B5YKP7;4.99.1.1
A0A2J6LGH7;
E9FXI7;2.5.1.59
Q13614;"3.1.3.64; 3.1.3.95"
A0A2K2DCP4;
G3QDN4;
E7F0F2;
A7SCT1;
Q4PB56;2.3.1.97
Q3SY69;1.5.1.6
P37287;2.4.1.198
G7KZG9;1.1.1.205
A0A2J6JTL7;
Q0D9C4;1.11.1.6
A0A078HXH6;3.1.3.7
A0A3B5Z4F4;
A0A2J6JP13;
P9WFU3;6.1.1.20
Q5A692;2.1.1.33
A0A3B6JGV7;
I1LG73;
A8BI31;
A0A2K1XKL2;
Q0UVS8;2.7.1.35
Q59P08;
A0A2J6LB16;2.4.2.7
A0A072U6K3;2.7.2.3
A9PCQ6;
F6WLS5;2.1.1.233
A8IQ05;6.2.1.5
A0A2K1Z3R6;
Q9JJX8;2.7.11.1
A0DFN4;6.4.1.4
D8R1F3;
A0CT58;
E7F846;
V5IKK9;
A0A0A0KG03;
A0A251T2C7;
E3KW54;
Q43776;6.1.1.6
P23321;
A0A2K1XT70;
A0A2K2B3G6;
M1A0E7;2.7.11.-
Q9ZP05;1.1.1.37
B7Q9N7;
A0A072U056;"1.2.1.41; 2.7.2.11"
A0ECA0;
A0A061GG11;2.7.11.1
A0A140UHW6;2.1.1.216
A0A2J6M1V3;1.11.1.7
C3YU79;
W5MPP7;1.5.1.2
A0DJL5;
E9GN79;
Q47208;
A8XWR3;
K3ZHV0;3.1.4.11
A0A1S4CM39;4.1.1.50
Q8I638;6.2.1.3
Q4WQ12;2.6.1.-
A0A3B5ZYY5;2.4.2.-
P15309-2;"3.1.3.2; 3.1.3.48; 3.1.3.5"
A0A287SK51;
F6QN06;
Q91VD9;7.1.1.2
A0A3B6IQ49;2.3.1.41
A0A067FQB9;3.6.1.5
B8C5E1;5.3.1.1
A0A3Q7HJL9;1.2.4.1
A0A2J6MGN6;
I1HQ61;
B7PTW2;
A0A3B6CDQ9;
E9QGQ9;2.4.2.31
P87253;2.7.11.13
A0A0B4KHK0;2.3.1.42
H2N171;2.7.10.2
Q9KVG0;
A0A0R4IWW4;
A0A0R0ERF2;4.1.1.35
F1QAR7;
G7ID98;2.5.1.-
A0A1U8MPL6;3.1.2.-
A8DWL0;
A0A2C9TZM7;5.2.1.8
O17514;2.1.1.356
A0A022QQU8;2.7.1.71
A0A1S3ZHI3;3.1.1.-
M3WL72;
Q67WR5;1.1.1.271
A0A1U8HA76;
F1S227;3.1.1.29
Q9VLC3;"1.10.3.3; 1.16.3.1"
A0A1S3XZL6;
A0A3Q2HT20;
Q9SLN8;1.3.1.102
A0A1U7Z9K0;1.11.1.11
G3R8S4;
Q7QAF9;
A0A1U8IHU7;
E9GEM5;
H9G7M4;2.7.11.30
A0A251T3G8;3.1.1.11
D8QNW1;2.7.7.41
A0A3B6TJF9;4.1.2.25
Q38BM6;
A0A0A0KQF4;
M0QW16;
A0A2I2UNM6;
A0A0Q3ID66;
A0A1U7ZKE8;
A0A3B6IZD9;
I1J659;
A0A078HW50;3.1.1.-
M4FF14;
Q7PY52;
A0A286ZKE7;
A0A0A0L0E4;1.1.1.37
Q0P5I2;
A0A2K3DXS3;2.6.1.85
A0A059BFZ0;2.4.2.19
D1MN54;
B9GXM7;
F6GZK4;2.1.2.1
Q6C8R4;
P49852;1.14.12.17
A9V7K4;
Q701R2;2.4.99.1
P49619;2.7.1.107
B7PEY9;6.1.1.6
A0A2J6K2M0;
A0A6I8S8J9;
A0A2C9V3N1;
D7SIR0;
Q8RWM2;6.3.4.21
P00591;3.1.1.3
Q5B9A5;4.1.2.13
Q9X8T7;2.4.1.129
A0A2C9WNK8;
A0A2K3D6S1;2.7.7.6
A0A2R8QTX0;2.7.11.1
A0BQ90;
P38111;2.7.11.1
Q7PW49;
A0A067F6C1;
A0A3B6PHG1;
A0A2K1R992;
A9UZQ1;
A0A251V8A9;
M4DJF8;
A0A3B3IAZ6;2.7.11.1
A5JT15;
M5WT49;4.2.3.1
A0A0K9NU62;6.1.1.2
Q54WD4;
A0A287A9R8;
B7P3M9;3.1.4.12
A0A2K1XKE8;
A0A3B6QCZ1;1.2.1.24
E3KJQ2;
A0A067DEZ1;
G7JEN4;2.5.1.19
C5Y9K0;
A0A1S4CIM1;
K7M263;
I1J730;5.2.1.8
A0A1U8EMR5;3.1.1.-
A7SJ87;2.3.1.255
E1C4X9;
Q68EJ8;
A0A078FMU6;4.2.3.1
A0A067EPR6;
A0A1S4CQI1;1.11.1.7
B1WBX0;
Q5KJN2;
A0A3B6JMG4;1.1.1.8
Q9ULD0;1.2.4.2
G1K8I4;
A0A3Q2U669;
C4M942;5.2.1.8
H3GC59;
A0A2J6LHS5;
Q652L6;1.6.5.4
Q383Z4;
A0A2I4EW60;2.3.1.51
A0A2J6LE75;
Q9L075;
C8VK43;
Q9V470;6.2.1.4
A9WKD3;
P00958;6.1.1.10
A0A6I8QHS3;2.4.1.155
B6SXI8;
A0A3B6EJF2;2.7.7.48
A0A139WJG1;3.1.4.11
A0A061ES61;2.7.2.3
A0A0R0EVN8;2.7.11.1
A2GLY1;
F6Z073;1.1.1.184
H3G8G5;1.8.4.11
P77933;"2.7.7.7; 3.1.-.-"
Q17QP4;
A0A3Q7HA56;3.5.4.5
E7FE19;
A0A3B6QE91;
A9WCB9;1.2.4.4
A9PFK0;
D8SAJ6;
A0A3B6TLW6;5.4.2.2
A9UVA7;6.1.1.4
Q4W9R2;5.2.1.8
C4LT57;
D8RX96;3.1.3.11
Q9SN75;2.7.7.41
Q9I4L5;
A7SQ61;
K3XRV8;2.4.2.-
Q9X6M5;2.7.4.8
Q89DM7;1.1.1.25
C5XJZ3;
B9IA30;
E0CRP4;
A0A0P0VQZ4;
A0A067DK78;3.1.4.4
F6HXC8;3.1.4.4
A0A0K9RM19;
Q750Y8;5.3.1.1
A0A2G2ZXZ8;
Q9LUI6;
A0A1S4BTL6;
A0A2G3A207;
F6XLA1;
B7PH64;3.1.4.12
C5X744;1.11.1.7
H6QVG5;
A9UWJ1;
B9H847;2.5.1.32
C3XVK5;
Q08387;6.5.1.1
A0A2K1YWL5;2.3.2.8
Q7PYD5;4.2.1.2
A0A3Q3AEZ3;4.2.1.11
A0CKU8;
A0A6I8S8L2;2.7.7.7
A7SHE8;
A0A1U8B2B9;
A0A6I8T136;2.7.11.-
A0A3B3ID29;2.7.11.1
G3RL67;2.7.11.30
A0A061DLG9;4.1.1.48
A0A061DWU9;1.14.14.17
A2GGL4;
F4NY10;1.8.1.4
Q8I3W0;2.7.-.-
T1G9W0;6.4.1.1
A8XLE3;
M4DBT9;
W5MLP9;3.1.4.-
A0A286ZKD7;
A0A096P8J6;6.3.5.2
A0A1S3XEB2;
H9G6X4;4.1.99.3
P9WI53;3.1.3.-
E9G3F7;3.6.4.12
C3XRL1;2.4.1.1
A0A251UJJ3;
A0A2J6L872;
Q6Z8Y7;5.2.1.8
W5MNJ2;
F6HI61;2.7.11.1
O67494;2.5.1.19
A0A3B6LV95;
V5IMD2;
A0A3N7FT81;1.3.1.2
K7LF92;3.6.4.12
A0A1D6K8N4;
Q7UGA0;3.1.6.4
D8R2S3;
A0A3Q7FNU1;2.4.1.13
A0A1B8XU43;3.6.4.12
A0A0K9RWW6;
F7DD86;
A0A1D6NMP3;
A7EZ35;
Q96EF0-1;"3.1.3.64; 3.1.3.95"
F1QDK5;2.7.11.1
D6X477;6.3.4.5
B7P4H5;2.7.11.1
A0A368RZM6;
C4MAI1;
A0A3B5Z3Q3;
M4CE41;
A0A022QWL0;
A0A1S3WZY7;6.3.1.2
Q9CQG2;"2.1.1.346; 2.1.1.348"
A2VCY4;
F7E2X7;
Q98SN4;2.7.10.2
A2E0R0;4.1.2.4
B3S525;2.3.2.27
P9WFX3;4.1.3.27
Q8F142;2.7.4.22
A0A3Q2I301;
I1M2Q0;
A0A2G2Y5S2;1.14.19.-
F1QHE9;
I1MRY9;
Q9BYZ6;
H2XY83;
A0A1U8AIW0;
M4F467;
Q9RX30;6.1.1.17
A0A1U8L233;
Q9ZVQ3;"2.5.1.18; 5.2.1.-"
H9G3Y8;
A0A0K9P660;5.2.1.8
Q5B8A7;2.7.1.11
A0A6I8Q0M1;2.7.11.1
A7ESR2;
B9TG83;
A0A059BMT0;4.4.1.5
F6Z180;2.7.11.1
Q9AVG8;5.3.3.2
A0A3B6RB56;
F6X9T7;2.1.1.2
O24980;2.5.1.97
Q6I5H0;
K7KA92;1.16.3.1
A0A1D6KCI0;2.7.7.6
A0A1Z5RC54;
Q9WY67;
D8S5D4;3.6.4.12
E9G3W3;3.5.1.23
E9G227;2.7.11.1
I1KJS2;2.7.1.11
H9G328;2.7.11.1
A0A1S4B5R1;3.6.4.12
A0A3B6SD87;
A0A0K9NQF5;
M4EM95;
Q9W1M7;2.7.1.137
P50432;2.1.2.1
A0A078I074;1.1.1.27
Q5F4A2;2.7.1.153
A0CV19;
F1SDK4;3.1.3.48
Q75JK9;6.1.1.15
A0A072UWU2;4.1.3.4
A0A0A0LZ62;
M4E3P8;2.7.2.4
H2L7V1;6.1.1.11
A0A251UE79;3.1.1.11
A0A1U8HPG4;
A0A022PUU8;2.1.1.33
