Uniprot ID;EC number
A0A3B6HW24;3.1.3.25
A0A1U8NJ90;4.3.1.19
A0A1D6KQK2;
B9RR18;
A7SXH2;2.3.2.15
F4P293;
A0A3B6HWE2;
A0A3N7ECP7;2.7.7.6
E3JYH7;
P25697;2.7.1.19
Q0J1X6;
M5X9A2;1.3.3.4
F6S7U7;
A0A3B6PGQ6;2.1.1.-
F6PXV9;1.14.13.39
C3ZTH2;2.3.1.51
A0A3Q1LR65;3.1.1.4
A0A2I4E570;1.2.4.2
A0A1U7YYL0;1.1.1.25
Q00234;1.14.18.1
Q6Z0F0;
O19069;"6.2.1.4; 6.2.1.5"
A0A0R0L355;3.1.1.11
H9GAU0;2.8.2.-
K3ZWN3;
T1F3N7;
A0A3Q7ISR8;
M1BJG9;1.1.1.95
C3XWG2;
E1C8W5;
D8TA29;
C5X0U0;
E9QHP1;
G3SFG5;
P27604;3.3.1.1
B3RK60;2.7.7.7
A0A0D1CNC2;3.3.1.1
H3DXR4;4.6.1.2
B8C0Y2;
F6Y152;2.7.10.2
I1HHJ0;
I1MUR2;
A0A251THH7;2.7.11.1
A0A1S4CUD0;"2.10.1.1; 2.7.7.75"
G1KZF2;
O31463;2.1.1.10
M1A686;2.7.11.1
A0A067G8D3;6.3.1.2
F6HJ86;
A0A251NP97;2.7.7.7
A0A1U8KQK9;5.4.99.5
D8RZ44;2.7.1.12
A0A3N7FYS8;
K3XJR0;
A0A251QP28;
A0A286YBD8;
Q94KL7;1.1.1.331
A0A1S4AN21;6.2.1.12
A9UYS4;
Q1ECU8;
A0A251UFT4;4.1.1.35
B7Q7G3;
Q54CM2;
A0A1S4DN56;
A0A078J0K6;4.2.1.3
A0A2K1ZU55;3.5.2.3
A0A2I4F0Z3;
A0A2I2YX53;6.3.4.5
A0A1B6PIB2;3.1.1.-
P34647;3.6.4.12
E3KNN2;2.7.11.1
A8WWG1;
F7BAA0;"1.20.4.2; 1.8.5.1; 2.5.1.18"
D7T4J9;
A0A1U8P2S2;
A0A3B6GY47;2.4.-.-
A0A067G5F4;1.2.1.84
A0A287BDT0;
B9GYC7;4.1.1.65
I1HY48;1.1.1.195
Q653X4;1.11.1.7
A0A1D6I1B2;
A0A0R0F4A1;
A0A3B3HC39;6.1.1.15
Q6PH36;
B3RML4;5.2.1.8
Q7NLT8;
Q9R1J8;1.14.11.7
Q2N2K2;2.7.1.182
A0A3Q2HBN8;
B7QGM4;3.1.1.4
A0A1S3YIR3;6.1.1.19
A0A1U8NL10;6.3.4.2
A0A368SBE6;
Q6UPE0;1.1.99.1
A7X672;2.7.1.134
Q4X0B1;2.7.11.1
Q7UUS4;1.11.1.5
Q80UM3;
B7QJ79;2.7.7.7
W5ERE6;
P30793-2;3.5.4.16
A0A2J6KI75;2.7.11.-
B7Q3M5;3.1.1.4
Q9RVK1;
E3L764;2.4.2.19
M3WNS9;
C8VM21;2.3.1.9
A0A2R8RY36;6.3.2.17
A0A022PN36;
B7PSF9;2.7.11.13
A0A078I5Y3;2.1.1.193
K7E0V7;3.1.3.48
Q9PT36;1.1.1.184
A0A1D6HBB7;5.1.3.3
A0A059A1L1;
A0A3B5XWT8;
B9HV51;4.2.1.19
H3G6I6;3.6.4.12
B1L6Q5;
K3YLU0;
M4D115;2.7.1.40
A0A078JKG1;4.2.1.11
A0A2K1KVX8;2.7.1.40
K3Z7N7;1.11.1.7
M1E0E5;
Q5BKA2;
Q949W8;2.7.1.17
Q9UUJ6;
W5NFS6;
A0A1U8DXM1;
A0A0K9NXS8;
Q7S286;1.4.3.-
F1QCV2;"3.5.1.48; 3.5.1.62"
P10725;5.1.1.1
A0A2J6LJE4;6.3.2.3
K3ZUM9;
K4APN0;
P34914;"3.1.3.76; 3.3.2.10"
Q07478;3.6.4.13
Q4Q824;2.1.1.220
A0A078FAG6;5.2.1.8
A0A1D6ET45;
A0A1D6LQQ9;6.1.1.5
D8T6F0;
I1LRL9;
A7RFG0;
F1SIX9;2.7.1.31
P9WLN5;
G1KM32;3.5.1.98
Q84QK0;1.3.1.42
A0A059A8G2;
F0ZZN1;3.6.4.12
A0A3B6PEA4;1.2.1.84
A0A2R8QKN1;2.8.2.-
F6HJW7;
A0A1U8BPP9;1.13.11.5
A0A2J6KZK3;1.17.4.1
H3F1A4;
A0A058ZWT8;3.6.4.13
A0A1U8B1K5;
F7A4M5;2.7.11.1
I1LBI3;2.5.1.47
A0A0K9NVK7;
P35285;
A0A251SPU6;2.5.1.78
Q04760;4.4.1.5
A0A0D1BUI7;
A0A1U8HSF2;
B9RCW0;2.4.1.1
Q9I6Z8;3.5.4.3
E0CSZ8;
G7JU47;3.1.2.-
A0A3B6AQM7;
A0A3B6MXV6;
A0A3B6B897;
Q89E11;
Q4WQ57;1.2.4.2
A0A2C9WJ15;3.6.4.13
D4ADS4;
A0A3Q2HN58;2.7.11.1
H3G233;"2.1.1.296; 6.1.1.9"
A7SBF1;4.1.1.90
E3L0U9;
A0A2J6JVQ0;4.4.1.5
A0A0Q3IWL1;2.7.11.24
A0A1S4D9I3;
A7S365;2.7.11.30
C5YFR6;2.7.4.22
F1SDQ2;
F6YYN8;3.6.4.12
G3RT60;
H3EPA5;6.3.1.2
A0A0K9RXE1;
A0A2C9V297;
C3YZS6;3.6.4.12
Q4Q8S1;3.1.1.31
A8E5T2;
F1SUN2;
Q8A0Y7;4.6.1.12
A0CV49;2.1.1.100
D2A2I8;1.11.1.24
Q66I77;
Q8N0V5;2.4.1.150
Q9VYS3;"3.6.4.12; 3.6.4.13"
A0A1S3ZTQ8;
A0BCL5;
A0A059CTA2;
A0A1S4APV6;
M4CD58;
M4DIM3;
Q89FV3;
O66945;1.8.1.4
F6RJA1;2.7.1.23
A2ARG9;2.7.11.1
O43099;1.11.1.24
A0A059ANQ5;6.1.1.7
A0A2C9WAM4;
P11014;3.6.4.-
Q86U10;"3.1.1.47; 3.1.1.5; 3.5.1.1"
A0A1U8IQF8;3.6.4.13
A0A1U8P5A3;2.6.1.52
A0A2I4EHL6;4.2.1.91
W1P1W9;
A0A2K1JZS6;3.1.1.11
E3K266;
P77690;2.6.1.87
A0A3B6QHJ0;
M1B2A8;3.6.4.12
P09394;3.1.4.46
Q817V7;2.4.2.19
H2LL84;
Q9GRG6;3.1.1.31
A0A337STX6;
A0A2J6M393;6.2.1.12
A0A067DW18;
A0A0D1DRB9;
A0A3Q7EKQ5;
A0A251TGL2;
M5XCT3;
A0A251TCD3;
Q9RVM1;
L7N304;
K3Z0U8;
A0A6I8T2A5;
Q75AN1;
Q9XAR4;7.1.1.-
Q9Y8A5;2.3.1.161
A0A059C2F6;
B7P8Y3;
F6R7W3;1.13.11.6
C5YR25;5.2.1.8
A0A2J6KCP3;
A0A078FXX2;2.5.1.18
B9GWF1;
Q2FXY3;2.7.7.18
Q75E84;4.1.1.50
P93422;6.1.1.21
C4M2Q4;
E3L3X7;2.7.8.5
Q83AM7;3.1.2.4
A0A078JHP1;
I1GZ54;
B9RDF4;3.6.4.3
F6HKE9;
A0A0K9NL55;1.1.1.27
W5MDI6;
A0A251Q2K1;
A0A3B6N0B4;
Q4QG56;
K3ZJD3;2.7.1.25
A0A1B8Y7A9;
Q8A0U0;3.5.4.16
A0A059AXH1;
P43911;2.7.9.3
Q0UMZ4;
A2DFG4;
G3QIM4;
Q381X2;3.6.1.-
A2FGU9;6.1.1.15
Q9URV9;1.8.98.2
W5M3D5;2.7.11.21
O35435;1.3.5.2
F6Y2C5;
F7C4S7;
G7II45;
A0A251VBS2;6.1.1.19
A0A078IQZ8;6.4.1.4
A0A2I4F5U9;
A0A6I8Q9Q8;3.1.4.11
A0A2I4GFP4;
F6PKP0;
Q64435;2.4.1.17
Q9ET64;3.1.4.12
Q66ID2;5.2.1.8
A0A078HA90;
A0A078HH76;
A0A2K3CXT1;
A0A022QM17;1.1.1.25
A2DEA5;
B7Q4L0;2.3.1.48
F1NW51;2.8.2.-
F0ZJB1;
G7KTY1;
H2LSD8;2.4.1.155
C8V099;
E3JRS8;
G5ED98;2.7.1.150
A9JTC8;
A9RNQ5;
A5C0I8;
A0A1S4CMX4;6.2.1.5
A8IWW7;
B3RJ69;
I1IVW2;
P47672;2.7.4.22
Q8R6G5;2.7.4.22
Q9HTH9;
Q4WHD8;
A0A0K9RQB6;1.11.1.7
A0A0A0L4G9;
E4W5X7;
I1I965;
E9HZ30;
A0A059D3I1;1.15.1.1
A0A067FX68;
H2N0K1;2.1.1.216
Q754I8;6.3.2.2
A0A1D5PK13;2.1.1.364
A0A067FQW5;
Q4WGM4;3.1.-.-
A0A1U8I666;2.7.1.25
Q0U5T0;4.2.1.9
A0A1U7ZER0;
A0A2I4GKV9;
A0A3B6AT31;1.11.1.7
Q9H1R2;"3.1.3.16; 3.1.3.48"
A9WHJ4;1.2.4.1
A0A1B6QM07;3.1.1.-
Q5AVP9;
W5M6D6;
Q5KBP2;2.1.1.228
P73942;6.1.1.15
A8X3E2;
P24058;4.3.2.1
P16067;4.6.1.2
Q751P2;2.4.1.34
A7S2B0;2.4.1.101
A0A251SL36;1.2.1.84
A3QJX4;6.1.1.11
A0A067EQ08;
I1IZP7;
M4F2A8;
A0A2K3DGD8;
Q8PAQ8;"3.1.1.32; 3.1.1.4"
D8R5I1;
E3KJR8;2.6.1.1
A7MBC2;4.1.1.-
A0A251TJQ6;1.2.1.84
A7ERY0;
B8C566;2.7.8.5
E1C3Y2;1.13.11.5
O82514;2.7.4.3
A0A022RNY7;3.1.1.11
A0A1D5P5P9;
A0A3B3I5H3;
B7Q6X3;1.14.11.2
A0A251RNV5;3.1.4.46
A0A3B6FPL0;
I1HEX3;3.1.4.4
A0A3Q7HT73;6.1.1.15
Q18331;4.6.1.2
A0A096PAM6;3.6.4.12
A0A2K1JS74;
A0A2K1IUH6;3.1.1.14
A0A1U8LEH1;3.1.1.11
A0A3B6DPG1;
F4NRJ4;
H9GH31;
G7II87;
Q8TKG8;
O15514;
Q9HS35;2.1.1.219
E3KI02;
A0A096P7P9;
F6X600;4.1.1.37
D8RES6;
F6HFN7;
A0A1S4B9K7;2.7.4.3
A0A077RTL3;2.7.11.24
A0A2G3AEL6;1.1.1.27
A0A1D8PEI6;
F1A551;
A0CYR1;
M1CEC9;
A0A4D6K026;4.6.1.2
A0A2J6LYI3;
D7TCW5;2.4.2.-
A0A251U892;
A0A2J6MB31;
Q0TXS0;
H9G4M7;3.6.4.13
A2DHQ7;2.7.11.1
A0A1S4AIK5;
F4K5T6;
Q9HY79;1.16.3.1
A0A1U8FI50;6.1.1.4
K3YUC6;
F6UYS8;
H9GLQ2;4.1.2.13
W5LVW8;5.2.1.8
F6T359;
B7P544;2.1.1.43
A0A3Q1LWT4;"6.2.1.15; 6.2.1.3"
F7BA40;2.2.1.2
Q8GU36;1.11.1.11
A0A6I8T215;1.8.1.9
G3V7N0;
A0A1U8NNJ0;4.1.1.35
A0A3B6LFW7;5.1.1.7
B7P6F9;
Q9VTY2;"1.-.-.-; 1.1.1.2; 1.1.1.21"
A0A1S4C088;1.13.99.1
W5MBU8;1.5.3.1
A0A3B6MRH6;
G3QL84;
Q5ZIG8;
A0A2K1J7T9;
A0A078GB50;1.4.3.-
Q54LF1;
A0A2K2BMM4;
B8CDH4;1.3.5.2
A9V7C3;1.14.11.27
A0A072UXJ7;3.2.1.26
A0A368RTT1;4.2.1.1
A0A059DEM8;3.6.1.1
K3Z9F4;3.6.1.1
A0A022QE80;
Q9HY40;
Q9RV32;3.6.5.-
C3Y754;1.13.11.20
C5Y3V8;6.3.5.-
Q7UXT8;
A0A3Q7J0Z4;
A0A022QSZ2;2.7.11.24
A0A022RY79;1.8.1.4
W5M106;
Q1K812;"2.1.1.290; 2.3.1.231"
A0A251NTB9;1.2.1.27
Q6A1T5;2.3.1.41
A0A0R4IZ21;
Q7PQH4;
Q5KJP0;2.7.1.26
Q9EPS3;5.1.3.17
D8SN98;
A0A251NCX1;1.11.1.7
H3HE55;
A0A2I4HB21;
A0A0A0KVA9;3.1.1.11
A0A2J6JY93;
A2DUR1;
F1QQC7;4.6.1.2
A0A251T9Q4;3.1.1.-
P97275;2.5.1.26
A0A1D6MQH0;
I1LNZ9;1.1.1.8
P0A9V8;"1.1.1.373; 1.1.1.61"
A0A2K1KCU3;6.1.1.21
Q4WEI0;
P56517;"3.5.1.-; 3.5.1.98"
Q8EB16;1.3.5.3
F7A6W0;
A0A1D8PMQ1;3.5.4.5
H9GRT6;
Q9XVA7;
H2R151;2.8.2.-
A0A251TBG1;
A0A060XEX6;1.1.1.49
F1NUX2;
Q5K7X5;2.6.1.1
C3ZVQ7;
H2Y1G0;2.1.1.13
A0A078FXI4;
O94323;3.-.-.-
A0A1U8A584;
A0A251PLC0;
Q5KEV2;
T1EFN1;3.6.4.13
F0ZWC1;
Q568U9;4.99.1.1
A0A3Q2KL85;2.4.2.28
Q9FIK7;2.3.1.9
B3S248;
A0A061GM48;2.3.1.41
A0A1U8MGI8;3.1.3.12
A0A0R0ETV1;3.1.4.4
I1K9E3;3.1.1.29
Q9VJ30;2.7.11.-
A8XAR6;
C3YPF9;1.8.4.12
Q9VJY1;
A0A067ED53;2.7.1.-
C3XQA8;
E9AFM7;
M4CB39;
K3XJ40;1.11.1.7
Q0P598;2.3.2.5
W5M266;2.7.11.1
Q8I246;6.1.1.20
A0A1U8PGJ0;
A0A2K1XX64;
A0A2I3SXW6;
A0A251RXE4;6.2.1.12
D8TFN5;
F6RJQ4;
Q7SD11;
W5MJD1;
A0A251UIL1;
C3ZVQ6;
F1N404;3.5.3.15
F6U4A0;1.17.4.1
P16690;2.7.4.23
Q9D0F9;5.4.2.2
A0A452DIJ4;
Q3EC47;
G3S3Q2;
B8BTX1;2.3.1.30
B8E0H8;5.1.1.3
B9T5A1;2.7.7.15
H9H6E0;
G7I8F2;6.2.1.3
Q53IZ1;"2.6.1.1; 4.1.1.12"
I1IY91;4.3.2.9
A0A1S3Y536;3.6.4.12
A0DBI9;
Q5K8S0;
Q5U189;
Q5U2X8;
G3QPQ5;2.7.11.26
A5C4C1;
H2RDC4;
A0A061DU77;4.1.1.48
A0A2I4F3N3;
A0A3B6KBH5;1.1.1.37
A0A2K1JIJ7;
A0A0R0J9P2;5.2.1.8
F1QLU7;
M5W639;6.3.5.4
M4EYA0;3.1.1.11
Q96520;1.11.1.7
A0A251UK31;
Q08877;3.6.5.5
A0A067G6X5;
A0A2I3RVS8;
A0A1U8PAN4;3.1.4.4
A0A078J9Q2;3.1.1.11
Q6H819;5.4.99.5
A0A368R545;
F4P384;1.5.1.2
L7N5I2;4.2.1.119
Q9SPP9;"2.4.1.219; 3.2.1.125"
V5IPS5;
A0A078JCZ4;
A0CUD9;
A0A251V667;
D8T6Q4;
G3QHG2;
K3XUR4;2.7.1.150
Q08DN5;
A0A2R8QM15;3.1.4.-
C3XQJ6;
A0A1U8BL98;
E3JR78;3.1.1.29
A0A059A929;
A0A2G2YYZ2;2.5.1.47
A0A3Q7GKS5;
A0A0Q3H1J0;
D8S628;
G3RZR3;7.1.1.2
Q0URR8;
Q9FYR6;6.1.1.15
Q6A2H0;1.2.1.24
A7S2C2;
E3JRK9;
A0A1S4DPY2;1.1.1.25
M1C6U3;
A9V915;2.6.1.13
Q0DTX5;1.15.1.1
A2FEU4;
Q89K28;6.3.5.-
A0A2I3SYW1;6.2.1.16
U5D963;6.1.1.1
B9IBF2;6.2.1.5
F6R9H9;2.7.3.2
W5MX60;
A0A078G1T8;
A0A6I8SIY8;
G7K9E3;4.1.1.56
H9LF13;7.1.1.-
Q8GXZ5;
A0A0Q3KBM0;
B9S5A3;4.1.1.33
A0A1U7ZEX2;
A0A1S3YUC2;2.1.2.1
A0A1R3LJQ4;
Q7SH59;6.3.1.14
P20974;"2.4.2.31; 3.2.2.5"
Q9RKU9;2.3.3.9
C5YMH9;
Q10257;2.1.1.287
A0A078H4T3;
A0A1S3X611;5.4.99.30
A0A1S4AGY6;
A0A096PAY0;3.1.2.12
A0A1D8PTN6;
P49872;"2.7.1.105; 3.1.3.46"
A0A0K9RIS9;
Q20893;1.13.11.20
Q8HQM5;7.1.1.2
Q4WHR3;1.1.1.95
A0A059BY94;
A0A2K2BY27;
D7TMZ4;2.3.3.10
A0A6I8Q3W3;
Q7RY33;
A0A3B5Y5Y9;
I1J084;
A0A059AMG3;
A0A1U8EFI9;
P94871;2.7.2.11
O88444;4.6.1.1
A0A251SSL7;
A0DD76;
Q4Q7M5;2.7.11.1
Q7Q7D8;
A0A2K3DUX7;2.3.1.50
A0A2J6JW60;6.2.1.3
G7IUB7;2.3.1.51
A0A078FJ57;
A0A1D6E3W6;
A0A3B5ZW14;
A9A2B0;
A0A2I4EGJ2;3.1.1.31
H3F7E0;2.3.1.-
K7BZK0;
K7E561;
A0A2I2Y682;
A0A3B6JE34;
F6GSX9;
O50017;"2.4.2.-; 2.4.2.30"
Q5SWU9;6.4.1.2
A0A2J6JIU4;2.7.7.7
M3XEI0;1.14.19.1
A0A2C9UYV9;2.7.1.150
C5WY18;
A0A0K9PBR7;2.7.1.-
P43132;
B9SCI6;2.5.1.6
A0A1D5ZWJ3;
K7M626;
A0A2K1IIB7;
Q83D91;5.3.1.9
A0A1S4AKN4;
Q9STY4;"1.1.1.193; 3.2.2.-"
A0A2J6JPT6;
H2XQD5;
A0A061GID6;
C3YHW8;
O15770;1.8.1.7
A0A0Q3LYL7;6.3.2.17
A0A3N7F6M5;
A0A3B6EHE0;
Q8PAA7;4.3.1.3
D8TFK8;3.1.3.11
A2EDH4;
H2N2T5;
A9TMB2;
G1KTL9;2.4.1.109
A0A059AT14;2.7.1.40
A0A059C955;
A0A3B6RQF3;
Q32KI1;3.1.6.1
A0A0Q3HAW0;
Q7NPE5;4.1.1.20
A0A2I3SZS6;
I1HEH4;2.7.1.40
Q9HWF9;1.16.3.1
Q9RUI6;3.1.3.71
C3Z7N8;6.1.1.1
Q5RJZ1;3.6.4.12
A0A3N7FCA2;1.11.1.7
Q7Q665;1.14.16.4
A0A072VQR6;2.1.1.193
P08910;"3.1.1.23; 3.1.1.6; 3.1.1.79"
Q0MQ90;
P52196;2.8.1.1
P53817;"2.3.1.-; 3.1.1.32; 3.1.1.4"
P07363-1;2.7.13.3
A7SPC5;
M4CSK8;5.2.1.8
A2D8K1;
C0PJI6;
M4ELV4;3.1.3.4
P04037;
F6HJ09;
A0A061F599;2.8.2.-
A2DDY4;
D7EIV5;
W1NS85;6.1.1.21
A0A0K9RMF8;3.1.1.11
M4EM41;
A0A3B3HQ42;
A0A2G2Z5U7;
A0A0P0VR62;
B9IPA1;
A8BB85;
D8QQR1;
D8R3F9;
F4P0R3;
A0C449;
D8RW37;3.2.1.51
M3W6P4;
A0A251RTU9;
C3Y6U0;
Q54RP8;
A5I3R7;4.2.3.4
P53816;"2.3.1.-; 3.1.1.32; 3.1.1.4"
D8TG16;
A0A078F5F6;4.3.1.24
A0A3Q3B2F1;2.7.11.13
Q9FYP0;1.11.1.7
A0A2C9UIX5;5.4.99.30
P16924;1.14.11.2
Q6V7J8;2.3.1.87
A8JD64;5.2.1.8
E9QEM7;
A0A2C9V6I6;
A0A2K1Z637;
Q89X24;
A0A3Q1LGU2;
A2G175;
A0A0K9RBL2;6.3.2.17
G7IRD9;1.2.1.84
A0A022RCQ4;3.6.4.12
A9A4I9;2.2.1.6
F6URE0;3.1.1.47
G3RBX4;
Q9LK23;1.1.1.49
F1R0C0;3.1.1.31
A0A3B5YYT0;
Q8ZIF2;2.7.8.13
A0A139WH17;1.13.12.7
Q3UES3;"2.4.2.-; 2.4.2.30"
K4ACW3;6.3.2.1
C8VFG9;
F6SM69;3.1.4.-
E9G5W8;2.7.4.9
P37529;"2.7.1.74; 2.7.1.76"
A0A090N2P7;2.4.2.17
A0A1S4BV02;
A0A0A0LNA2;
H2MU40;
A0A2J6JGR1;
D8TBA9;6.3.2.17
E3K3E3;1.2.1.12
A0A2J6KNR3;
A0A1B8XVR5;
A0A2I4G4N2;
F7BRM4;
Q68FP2;"3.1.1.2; 3.1.1.81; 3.1.8.1"
M5WTL8;2.1.1.56
A0A251MWD5;
Q89XE6;
Q9CYK1;6.1.1.2
Q9FKA4;1.11.1.7
W1NH75;3.2.1.51
F6SKZ7;5.3.3.2
B3SDA9;
K4AGB9;6.3.5.-
Q5KK45;
A0A3B6IKF4;2.1.1.193
A0A3N7FRQ4;
A7EGX9;
A0A067H1T2;
A0A1S3XRA4;
A0A1U8PC28;
A7EH58;
Q9HTY1;
A0A6I8SSW0;2.7.7.7
Q568M6;
A0A3Q2U718;1.18.1.6
A0A078HZD5;
E7EZJ5;
A0A2K1XIZ4;
A9UZ10;
B5YJV6;2.7.1.40
Q566T0;
A0A067G579;
A0A1B6Q4V2;
D7TA70;5.4.99.5
A0A251TB75;
A0A2C9W1C6;
A0A2K1J7B2;2.5.1.78
A0A022RUX1;1.14.11.2
F1MU84;3.1.6.4
B5DDW8;2.7.11.30
W1PNM8;
Q8DPD2;1.3.1.12
A8BFN5;
A9WA31;
A0A2I4GWN6;
A2FCA7;
A0A1D5PHM1;
F1SET5;3.1.3.64
A0EE96;
A0A2I4HBX5;
Q9C776;2.3.2.8
A0A1S4BTP7;
A0A1D6MDH7;
M3WPT3;
W5NAG3;
A0A0K9QY48;1.1.1.44
C4M7B3;
A0A1S4APC4;2.7.1.134
H2XP51;
A0A251QZ68;
Q5ACU3;2.4.1.109
A0A1B8XVA8;1.4.3.13
A0A6I8R850;
F6W5R9;
P35146;4.2.1.10
A0A3B3IF63;2.7.1.11
A0A3B6AX05;
A0A078IRF5;4.1.1.49
A2DRK0;
F7DL71;
P24174;2.7.7.13
W5N129;6.1.1.20
A0A059A1U5;
Q4WQ74;3.6.5.-
E9FUF1;2.7.11.1
F6TLV6;
Q818D2;2.7.7.18
Q8EZT8;6.1.1.9
U5GHQ1;
A0A059TC02;"1.2.1.-; 1.2.1.44"
F1QJD6;3.1.4.-
P71864;1.3.99.4
T1G4I2;2.1.2.10
Q8EIM7;3.2.-.-
A0A072TKA6;2.6.1.11
O88267;"3.1.2.-; 3.1.2.2"
A0A3Q7HLF0;2.6.1.13
H2LBQ8;
A0A1S4BY08;2.7.2.4
Q2FWK4;1.1.1.86
P9WNP3;"4.2.1.-; 4.2.1.119; 4.2.1.55"
A0A2P2CLH2;
A0A022QHQ8;2.7.11.1
Q47316;6.3.2.38
A0A337SV88;2.7.11.30
M4DB00;
A0A1U8LTC2;2.1.2.1
A0A2I2ZVV3;1.6.2.2
A0A2I2UR47;3.1.3.48
Q8P4G8;3.5.4.25
H2M111;
A0A0A0L1B5;
A0A1U8NYV3;
D3ZTP0;1.5.1.6
A0A368RKB5;4.1.3.4
A0A1S4CAF0;
Q5JEC3;
Q74Z77;
F6SZQ4;
F7A210;
M1ZJU1;
A0A2J6JSF6;2.3.1.48
Q4WVN3;
F6U4W8;2.7.4.24
A0A2I2V4F1;6.5.1.4
A0A2I3T6X7;
A0A251UTF5;6.2.1.12
M3WY67;
A0A1U8KTT1;
A0A0Q3L8G0;
A0A2C9VIQ9;
A0DHK5;2.1.1.33
K3Y8A1;1.1.1.37
D8T5X7;
Q21122;"2.7.1.105; 3.1.3.46"
A0A3Q7F170;
Q90WH4;
A0A059CGZ5;
A0A072VKE7;1.3.1.70
A0A0K9QNI0;2.5.1.6
A0A1U8P2B6;3.1.1.11
A2FXX0;
M4DS22;
P09884;2.7.7.7
Q5U452;2.7.11.1
E9H3F0;
A0A2I4H055;
A0A0K9NZ11;
M3WNL0;
Q10185;7.-.-.-
A0A0R0L3B1;
M4CLH8;2.3.1.20
A0A1U8HKD2;2.7.1.40
A0A0K9NP26;3.6.1.1
F7AC23;
A9VBA8;1.2.4.4
F2EHY2;3.1.1.11
A0A1U8I0D4;
A0A0K9NSM1;6.3.4.2
A0A3B6PQA7;
A0A2G3A6Z2;
F7A3V4;
Q8MKI8;
F7H9P5;3.6.1.22
A0A022RQU8;2.3.1.48
T1FWV2;2.6.1.16
H2M9L8;
A0A0A0KAF2;
A0A1U8P838;
A5C1N0;2.7.7.6
A0A3B6KS99;
P97697;"3.1.3.25; 3.1.3.94"
H2LYV3;4.6.1.1
K3Y7Z5;
P04444;
A0A2K2BJV1;2.1.2.11
A0A3Q2UCP5;
E7F6G6;
E3KTI4;3.4.21.53
A0A2G2YYD8;
Q89I86;1.4.4.2
A0A1U8K1S9;
A0A061EEL1;3.6.4.13
C3YXN0;
P97464;"2.4.1.224; 2.4.1.225"
Q8CJF2;1.14.14.-
I1K1R2;
Q757Q1;2.7.7.7
M4FII1;
Q5ZLV2;5.2.1.8
A0A2I3SAS8;
C5Z0Z5;
Q74BL6;4.2.3.4
Q8ZRC4;2.5.1.141
F7A7S8;3.1.1.-
A0A3B6DA58;
I1HNS6;
A0BYQ7;
P00330;1.1.1.1
A0A3N7EUX6;
A0A1S3XIL8;
C3ZPB0;
Q9MIY0;7.1.1.2
D8RZD9;3.2.1.26
Q5CB02;2.4.1.135
B8E1A8;
Q8ZXX8;
A2CG94;
Q7Q9R5;5.1.3.1
A0A1U8B6Z7;2.7.1.160
Q9Y303;3.5.1.25
T1FNT7;
A0A059A9W7;2.3.2.8
P0CD72;5.3.1.9
P71019;2.3.1.39
B5YJ21;4.1.1.-
M3WGR0;
A2A8T1;
A9V2Y9;3.1.3.77
P14062;1.1.1.44
